Source,Device timezone,Datetime_start(UTC),Datetime_end(UTC),AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),CO (ug/m3),TVOC (index),NOx (index),O3 (ug/m3),NO2 (ug/m3),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb),Pressure (pascal),Particle Count,Fan Speed Level,slot.1.co2,slot.1.pm1,slot.1.pm10,slot.1.pm25,slot.1.pc,slot.1.voc,slot.1.hcho,slot.1.o3,slot.1.co,slot.1.no2,slot.2.co2,slot.2.pm1,slot.2.pm10,slot.2.pm25,slot.2.pc,slot.2.voc,slot.2.hcho,slot.2.o3,slot.2.co,slot.2.no2,slot.3.co2,slot.3.pm1,slot.3.pm10,slot.3.pm25,slot.3.pc,slot.3.voc,slot.3.hcho,slot.3.o3,slot.3.co,slot.3.no2,slot.4.co2,slot.4.pm1,slot.4.pm10,slot.4.pm25,slot.4.pc,slot.4.voc,slot.4.hcho,slot.4.o3,slot.4.co,slot.4.no2
1dxf0l3yetv,America/Los_Angeles UTC-07:00,04/29/2025 18:00,04/29/2025 18:59,82,37,26,40,19,548,,,,,,26,78.8,40,,,,96918,124771,,,17,33,22,126308,,,,,,,19,44,27,111195,,,,,,548,,,,,,,,,,,20,40,26,131990,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,04/29/2025 19:00,04/29/2025 19:59,66,24,17,28,13,537,,,,,,26,78.8,37,,,,96837,75594,,,12,26,17,75773,,,,,,,12,28,17,68583,,,,,,537,,,,,,,,,,,13,28,17,83641,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,04/29/2025 20:00,04/29/2025 20:59,53,14,10,17,7,533,,,,,,28,82.4,33,,,,96773,39990,,,7,19,11,39687,,,,,,,6,16,9,37207,,,,,,533,,,,,,,,,,,8,16,10,46955,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,04/29/2025 21:00,04/29/2025 21:59,44,11,8,13,5,531,,,,,,28,82.4,31,,,,96708,31243,,,5,17,9,31036,,,,,,,5,12,7,29211,,,,,,531,,,,,,,,,,,6,12,8,36771,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,04/29/2025 22:00,04/29/2025 22:59,44,11,8,14,6,533,,,,,,29,84.2,28,,,,96634,36302,,,6,19,11,36638,,,,,,,5,13,7,31156,,,,,,533,,,,,,,,,,,7,13,8,38783,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,04/29/2025 23:00,04/29/2025 23:59,53,14,10,18,7,533,,,,,,29,84.2,31,,,,96599,42313,,,8,22,13,42782,,,,,,,6,18,10,36218,,,,,,533,,,,,,,,,,,8,17,10,44824,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,04/30/2025 00:00,04/30/2025 00:59,44,11,8,15,6,522,,,,,,27,80.6,38,,,,96611,30396,,,6,19,11,30352,,,,,,,5,15,8,27246,,,,,,522,,,,,,,,,,,6,13,8,33318,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,04/30/2025 01:00,04/30/2025 01:59,44,11,8,15,6,423,,,,,,24,75.2,45,,,,96661,32516,,,6,21,11,32862,,,,,,,5,15,8,28883,,,,,,423,,,,,,,,,,,6,13,8,34183,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,04/30/2025 02:00,04/30/2025 02:59,50,13,9,16,6,398,,,,,,20,68,56,,,,96739,33503,,,6,21,11,33697,,,,,,,6,16,9,30915,,,,,,398,,,,,,,,,,,6,14,8,35224,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,04/30/2025 03:00,04/30/2025 03:59,53,14,10,18,6,396,,,,,,17,62.6,63,,,,96821,37983,,,7,23,13,39101,,,,,,,6,18,10,35113,,,,,,396,,,,,,,,,,,6,16,9,38593,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,04/30/2025 04:00,04/30/2025 04:59,55,16,11,21,7,396,,,,,,17,62.6,65,,,,96877,43938,,,9,28,15,47716,,,,,,,7,21,11,40884,,,,,,396,,,,,,,,,,,7,17,10,43938,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/01/2025 01:00,05/01/2025 01:59,53,14,10,18,7,389,,,,,,23,73.4,47,,,,96520,42960,,,8,23,13,43182,,,,,,,6,18,10,39204,,,,,,389,,,,,,,,,,,7,16,10,44677,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/01/2025 02:00,05/01/2025 02:59,64,23,16,27,11,392,,,,,,19,66.2,57,,,,96559,70612,,,12,31,18,73480,,,,,,,11,27,16,67273,,,,,,392,,,,,,,,,,,11,24,15,71393,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/01/2025 03:00,05/01/2025 03:59,58,19,13,23,8,393,,,,,,17,62.6,66,,,,96610,48360,,,9,28,16,50819,,,,,,,8,22,13,46607,,,,,,393,,,,,,,,,,,8,19,11,48458,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/01/2025 04:00,05/01/2025 04:59,58,19,13,24,9,394,,,,,,16,60.8,71,,,,96675,49265,,,10,28,16,53871,,,,,,,8,24,13,48075,,,,,,394,,,,,,,,,,,8,18,11,48843,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/02/2025 01:00,05/02/2025 01:59,58,19,13,21,10,389,,,,,,19,66.2,55,,,,96494,55810,,,10,23,14,55424,,,,,,,9,21,13,53454,,,,,,389,,,,,,,,,,,10,20,13,59973,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/02/2025 02:00,05/02/2025 02:59,56,17,12,19,8,388,,,,,,18,64.4,62,,,,96547,50199,,,9,22,13,50995,,,,,,,8,19,11,46938,,,,,,388,,,,,,,,,,,8,18,11,51273,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/02/2025 03:00,05/02/2025 03:59,53,14,10,17,7,392,,,,,,16,60.8,68,,,,96610,45040,,,8,21,12,46685,,,,,,,7,17,10,42938,,,,,,392,,,,,,,,,,,7,15,9,45138,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/02/2025 04:00,05/02/2025 04:59,56,17,12,19,9,393,,,,,,15,59,72,,,,96628,52193,,,10,21,13,54976,,,,,,,9,20,12,50072,,,,,,393,,,,,,,,,,,9,18,11,52313,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/03/2025 01:00,05/03/2025 01:59,88,41,29,45,22,399,,,,,,24,75.2,49,,,,96411,146957,,,22,42,28,153022,,,,,,,22,46,29,126662,,,,,,399,,,,,,,,,,,22,45,29,148087,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/03/2025 02:00,05/03/2025 02:59,79,34,24,38,19,397,,,,,,21,69.8,55,,,,96437,125165,,,18,34,23,129552,,,,,,,19,41,26,109290,,,,,,397,,,,,,,,,,,19,38,24,126140,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/03/2025 03:00,05/03/2025 03:59,73,30,21,33,17,396,,,,,,19,66.2,64,,,,96505,107572,,,16,30,20,110731,,,,,,,17,36,23,96256,,,,,,396,,,,,,,,,,,17,33,21,108401,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/03/2025 04:00,05/03/2025 04:59,68,26,18,28,14,394,,,,,,16,60.8,71,,,,96609,81034,,,15,28,19,85855,,,,,,,13,29,18,74493,,,,,,394,,,,,,,,,,,14,28,18,81139,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/04/2025 01:00,05/04/2025 01:59,66,24,17,25,13,384,,,,,,16,60.8,76,,,,96338,79497,,,13,26,17,86316,,,,,,,13,25,16,72563,,,,,,384,,,,,,,,,,,13,25,17,79634,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/04/2025 02:00,05/04/2025 02:59,53,14,10,15,8,398,,,,,,15,59,81,,,,96343,45160,,,8,16,10,46855,,,,,,,7,14,9,41734,,,,,,398,,,,,,,,,,,8,14,10,46070,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/04/2025 03:00,05/04/2025 03:59,53,14,10,15,8,399,,,,,,14,57.2,83,,,,96352,46311,,,8,15,10,46996,,,,,,,7,14,9,43128,,,,,,399,,,,,,,,,,,8,15,10,47783,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/04/2025 04:00,05/04/2025 04:59,64,23,16,25,13,401,,,,,,13,55.4,84,,,,96394,77188,,,13,25,17,82548,,,,,,,13,24,16,72310,,,,,,401,,,,,,,,,,,13,24,16,77533,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/05/2025 01:00,05/05/2025 01:59,56,17,12,22,7,393,,,,,,11,51.8,100,,,,96093,37479,,,9,32,17,45195,,,,,,,7,22,12,37332,,,,,,393,,,,,,,,,,,6,16,9,35451,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/05/2025 02:00,05/05/2025 02:59,53,14,10,19,6,401,,,,,,12,53.6,100,,,,96075,35510,,,8,26,15,44094,,,,,,,6,19,10,35416,,,,,,401,,,,,,,,,,,6,14,8,33440,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/05/2025 03:00,05/05/2025 03:59,56,17,12,21,7,404,,,,,,12,53.6,98,,,,96109,42162,,,9,28,16,50757,,,,,,,7,21,12,41986,,,,,,404,,,,,,,,,,,7,16,10,40463,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/05/2025 04:00,05/05/2025 04:59,58,19,13,24,9,399,,,,,,11,51.8,100,,,,96145,48953,,,11,33,18,59775,,,,,,,9,24,13,48798,,,,,,399,,,,,,,,,,,8,18,11,46660,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/06/2025 01:00,05/06/2025 01:59,53,14,10,18,7,393,,,,,,12,53.6,96,,,,96418,39181,,,7,23,13,41003,,,,,,,7,18,10,36995,,,,,,393,,,,,,,,,,,7,14,9,39557,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/06/2025 02:00,05/06/2025 02:59,39,10,7,12,5,397,,,,,,13,55.4,93,,,,96447,29113,,,6,17,10,32322,,,,,,,5,12,7,27727,,,,,,397,,,,,,,,,,,5,9,6,29037,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/06/2025 03:00,05/06/2025 03:59,53,14,10,16,7,400,,,,,,13,55.4,92,,,,96514,39961,,,8,21,12,43106,,,,,,,6,16,10,37612,,,,,,400,,,,,,,,,,,7,14,9,40100,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/06/2025 04:00,05/06/2025 04:59,53,14,10,17,7,402,,,,,,13,55.4,91,,,,96563,40453,,,8,23,13,45083,,,,,,,6,17,10,38241,,,,,,402,,,,,,,,,,,6,14,9,40397,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/07/2025 01:00,05/07/2025 01:59,69,27,19,31,14,401,,,,,,14,57.2,86,,,,96731,82949,,,15,30,20,87989,,,,,,,14,33,19,76708,,,,,,401,,,,,,,,,,,14,29,18,83577,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/07/2025 02:00,05/07/2025 02:59,64,23,16,26,12,405,,,,,,14,57.2,85,,,,96777,68153,,,13,27,17,72514,,,,,,,11,27,16,63575,,,,,,405,,,,,,,,,,,12,23,15,68258,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/07/2025 03:00,05/07/2025 03:59,58,19,13,22,10,403,,,,,,13,55.4,87,,,,96823,57581,,,11,23,14,60227,,,,,,,9,22,13,52807,,,,,,403,,,,,,,,,,,10,20,13,57816,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/07/2025 04:00,05/07/2025 04:59,64,23,16,26,11,403,,,,,,13,55.4,87,,,,96915,67335,,,13,27,17,73112,,,,,,,11,27,16,62622,,,,,,403,,,,,,,,,,,11,24,15,67373,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/08/2025 01:00,05/08/2025 01:59,55,16,11,19,7,416,,,,,,24,75.2,45,,,,96749,43315,,,8,24,13,43477,,,,,,,7,18,10,39581,,,,,,416,,,,,,,,,,,8,17,10,45781,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/08/2025 02:00,05/08/2025 02:59,66,24,17,29,13,416,,,,,,21,69.8,56,,,,96798,78391,,,13,30,18,78887,,,,,,,13,30,18,74040,,,,,,416,,,,,,,,,,,13,28,17,81829,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/08/2025 03:00,05/08/2025 03:59,56,17,12,22,8,416,,,,,,19,66.2,63,,,,96900,46705,,,9,27,15,49285,,,,,,,8,22,12,44097,,,,,,416,,,,,,,,,,,8,18,11,46727,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/08/2025 04:00,05/08/2025 04:59,56,17,12,22,8,423,,,,,,17,62.6,69,,,,96986,46405,,,10,27,16,51477,,,,,,,8,23,12,44751,,,,,,423,,,,,,,,,,,8,18,11,46125,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/09/2025 01:00,05/09/2025 01:59,33,9,6,11,4,418,,,,,,30,86,30,,,,96728,25471,,,5,16,9,26703,,,,,,,4,11,6,22755,,,,,,418,,,,,,,,,,,4,10,6,25963,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/09/2025 02:00,05/09/2025 02:59,44,11,8,15,5,419,,,,,,26,78.8,38,,,,96750,31059,,,6,20,11,32842,,,,,,,5,14,8,27658,,,,,,419,,,,,,,,,,,5,12,7,31240,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/09/2025 03:00,05/09/2025 03:59,55,16,11,20,7,428,,,,,,24,75.2,49,,,,96851,40108,,,8,30,16,45953,,,,,,,7,20,11,37347,,,,,,428,,,,,,,,,,,7,17,10,40086,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/09/2025 04:00,05/09/2025 04:59,60,20,14,26,9,426,,,,,,22,71.6,54,,,,96941,51072,,,10,34,19,59106,,,,,,,9,26,14,49048,,,,,,426,,,,,,,,,,,8,22,12,50650,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/10/2025 01:00,05/10/2025 01:59,22,6,4,6,3,408,,,,,,34,93.2,20,,,,96429,17685,,,3,7,4,17615,,,,,,,3,5,3,16292,,,,,,408,,,,,,,,,,,3,6,4,20899,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/10/2025 02:00,05/10/2025 02:59,22,6,4,7,3,410,,,,,,30,86,23,,,,96467,20788,,,3,8,5,20298,,,,,,,3,6,4,19762,,,,,,410,,,,,,,,,,,4,8,5,26895,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/10/2025 03:00,05/10/2025 03:59,22,6,4,6,3,421,,,,,,28,82.4,29,,,,96567,17020,,,3,8,4,17066,,,,,,,2,5,3,14918,,,,,,421,,,,,,,,,,,3,6,3,18682,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/10/2025 04:00,05/10/2025 04:59,33,9,6,11,4,447,,,,,,25,77,39,,,,96642,25791,,,5,17,9,25980,,,,,,,3,11,6,22279,,,,,,447,,,,,,,,,,,4,10,6,27108,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/11/2025 01:00,05/11/2025 01:59,11,3,2,4,2,399,,,,,,36,96.8,13,,,,96260,10303,,,2,5,3,10030,,,,,,,2,3,2,9842,,,,,,399,,,,,,,,,,,2,3,2,12509,,,,,
1dxf0l3yetv,America/Los_Angeles UTC-07:00,05/11/2025 02:00,05/11/2025 02:59,17,4,3,5,2,399,,,,,,33,91.4,17,,,,96283,12958,,,2,6,4,12790,,,,,,,2,5,3,12383,,,,,,399,,,,,,,,,,,2,5,3,14945,,,,,
