Source,Device timezone,Datetime_start(UTC),Datetime_end(UTC),AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),CO (ug/m3),TVOC (index),NOx (index),O3 (ug/m3),NO2 (ug/m3),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb),Pressure (pascal),Particle Count,Fan Speed Level,slot.1.co2,slot.1.pm1,slot.1.pm10,slot.1.pm25,slot.1.pc,slot.1.voc,slot.1.hcho,slot.1.o3,slot.1.co,slot.1.no2,slot.2.co2,slot.2.pm1,slot.2.pm10,slot.2.pm25,slot.2.pc,slot.2.voc,slot.2.hcho,slot.2.o3,slot.2.co,slot.2.no2,slot.3.co2,slot.3.pm1,slot.3.pm10,slot.3.pm25,slot.3.pc,slot.3.voc,slot.3.hcho,slot.3.o3,slot.3.co,slot.3.no2,slot.4.co2,slot.4.pm1,slot.4.pm10,slot.4.pm25,slot.4.pc,slot.4.voc,slot.4.hcho,slot.4.o3,slot.4.co,slot.4.no2
5j5pwhmbztg,America/Los_Angeles UTC-07:00,08/20/2025 21:00,08/20/2025 21:59,39,10,7,14,4,,,,,,,41,105.8,15,,,,96700,22195,,,4,18,8,22048,,,,,,,3,11,6,21175,,,,,,,,,,,,,,,,,4,14,8,25127,,,,,
5j5pwhmbztg,America/Los_Angeles UTC-07:00,08/20/2025 22:00,08/20/2025 22:59,44,11,8,16,4,,,,,,,41,105.8,16,,,,96618,24035,,,4,20,9,23813,,,,,,,4,12,7,23218,,,,,,,,,,,,,,,,,5,16,8,27138,,,,,
5j5pwhmbztg,America/Los_Angeles UTC-07:00,08/20/2025 23:00,08/20/2025 23:59,53,14,10,19,5,,,,,,,39,102.2,20,,,,96579,28215,,,5,24,11,28037,,,,,,,5,14,8,26973,,,,,,,,,,,,,,,,,6,19,10,31609,,,,,
5j5pwhmbztg,America/Los_Angeles UTC-07:00,08/21/2025 00:00,08/21/2025 00:59,55,16,11,21,5,,,,,,,38,100.4,22,,,,96563,27543,,,5,27,12,27472,,,,,,,4,15,8,26194,,,,,,,,,,,,,,,,,5,21,11,30348,,,,,
5j5pwhmbztg,America/Los_Angeles UTC-07:00,08/21/2025 01:00,08/21/2025 01:59,50,13,9,18,4,,,,,,,35,95,24,,,,96581,24911,,,5,24,11,24851,,,,,,,4,13,7,23299,,,,,,,,,,,,,,,,,5,18,9,26765,,,,,
5j5pwhmbztg,America/Los_Angeles UTC-07:00,08/21/2025 02:00,08/21/2025 02:59,58,19,13,24,7,,,,,,,33,91.4,27,,,,96630,37742,,,7,26,13,37814,,,,,,,5,18,10,32837,,,,,,,,,,,,,,,,,7,25,13,39808,,,,,
5j5pwhmbztg,America/Los_Angeles UTC-07:00,08/21/2025 19:00,08/21/2025 19:59,56,17,12,25,5,,,,,,,38,100.4,20,,,,96603,27839,,,5,32,13,27638,,,,,,,5,19,9,27238,,,,,,,,,,,,,,,,,5,25,12,28889,,,,,
5j5pwhmbztg,America/Los_Angeles UTC-07:00,08/21/2025 21:00,08/21/2025 21:59,56,17,12,24,6,,,,,,,40,104,22,,,,96445,31258,,,6,30,13,30878,,,,,,,5,18,9,30705,,,,,,,,,,,,,,,,,6,24,12,32851,,,,,
5j5pwhmbztg,America/Los_Angeles UTC-07:00,08/21/2025 22:00,08/21/2025 22:59,53,14,10,20,5,,,,,,,41,105.8,19,,,,96400,27807,,,5,27,12,27638,,,,,,,5,15,8,27088,,,,,,,,,,,,,,,,,5,20,10,29767,,,,,
5j5pwhmbztg,America/Los_Angeles UTC-07:00,08/21/2025 23:00,08/21/2025 23:59,56,17,12,25,6,,,,,,,40,104,22,,,,96347,32615,,,6,32,14,32719,,,,,,,5,18,10,30924,,,,,,,,,,,,,,,,,6,25,13,34146,,,,,
5j5pwhmbztg,America/Los_Angeles UTC-07:00,08/22/2025 00:00,08/22/2025 00:59,58,19,13,27,6,,,,,,,37,98.6,26,,,,96345,33231,,,6,34,15,33574,,,,,,,5,19,10,31083,,,,,,,,,,,,,,,,,6,27,13,34247,,,,,
5j5pwhmbztg,America/Los_Angeles UTC-07:00,08/22/2025 01:00,08/22/2025 01:59,56,17,12,25,6,,,,,,,36,96.8,28,,,,96357,30183,,,6,31,14,30841,,,,,,,5,18,10,28644,,,,,,,,,,,,,,,,,6,25,12,30734,,,,,
