Source,Device timezone,Datetime_start(UTC),Datetime_end(UTC),AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),CO (ug/m3),TVOC (index),NOx (index),O3 (ug/m3),NO2 (ug/m3),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb),Pressure (pascal),Particle Count,Fan Speed Level,slot.1.co2,slot.1.pm1,slot.1.pm10,slot.1.pm25,slot.1.pc,slot.1.voc,slot.1.hcho,slot.1.o3,slot.1.co,slot.1.no2,slot.2.co2,slot.2.pm1,slot.2.pm10,slot.2.pm25,slot.2.pc,slot.2.voc,slot.2.hcho,slot.2.o3,slot.2.co,slot.2.no2,slot.3.co2,slot.3.pm1,slot.3.pm10,slot.3.pm25,slot.3.pc,slot.3.voc,slot.3.hcho,slot.3.o3,slot.3.co,slot.3.no2,slot.4.co2,slot.4.pm1,slot.4.pm10,slot.4.pm25,slot.4.pc,slot.4.voc,slot.4.hcho,slot.4.o3,slot.4.co,slot.4.no2
92e26935zj5,America/Los_Angeles UTC-08:00,02/04/2025 18:00,02/04/2025 18:59,102,52,36,58,27,512,,,,,,14,57.2,67,,,,97799,3530,,,35,72,48,4803,,,,,,,27,54,35,3530,,,,,,512,,,,,,,,,,,25,58,35,3171,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/04/2025 19:00,02/04/2025 19:59,81,36,25,40,19,504,,,,,,17,62.6,59,,,,97783,2524,,,23,45,30,3242,,,,,,,19,38,24,2524,,,,,,504,,,,,,,,,,,18,40,25,2240,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/04/2025 20:00,02/04/2025 20:59,73,30,21,34,16,503,,,,,,20,68,51,,,,97733,2121,,,18,35,23,2625,,,,,,,16,32,20,2121,,,,,,503,,,,,,,,,,,15,34,21,1875,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/04/2025 21:00,02/04/2025 21:59,73,30,21,33,17,506,,,,,,20,68,49,,,,97659,2106,,,18,34,22,2569,,,,,,,17,32,21,2106,,,,,,506,,,,,,,,,,,15,34,21,1882,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/04/2025 22:00,02/04/2025 22:59,77,33,23,36,18,507,,,,,,20,68,49,,,,97621,2301,,,20,37,25,2839,,,,,,,18,35,22,2301,,,,,,507,,,,,,,,,,,16,35,22,2027,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/04/2025 23:00,02/04/2025 23:59,66,24,17,26,13,506,,,,,,20,68,49,,,,97613,1545,,,14,27,18,1905,,,,,,,14,27,17,1545,,,,,,506,,,,,,,,,,,12,27,16,1368,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 00:00,02/05/2025 00:59,56,17,12,20,9,483,,,,,,18,64.4,53,,,,97607,1090,,,11,22,14,1300,,,,,,,9,19,12,1090,,,,,,483,,,,,,,,,,,8,19,11,940,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 01:00,02/05/2025 01:59,53,14,10,17,8,403,,,,,,16,60.8,55,,,,97671,1119,,,9,19,12,1308,,,,,,,8,16,10,1127,,,,,,403,,,,,,,,,,,7,18,10,933,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 02:00,02/05/2025 02:59,33,9,6,10,5,403,,,,,,15,59,60,,,,97728,536,,,5,11,7,620,,,,,,,5,9,6,536,,,,,,403,,,,,,,,,,,4,11,6,451,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 03:00,02/05/2025 03:59,33,9,6,10,5,402,,,,,,14,57.2,63,,,,97804,551,,,5,11,7,623,,,,,,,5,10,6,551,,,,,,402,,,,,,,,,,,4,11,5,450,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 04:00,02/05/2025 04:59,28,7,5,9,4,400,,,,,,14,57.2,63,,,,97867,451,,,4,10,6,533,,,,,,,4,8,5,451,,,,,,400,,,,,,,,,,,3,9,5,378,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 05:00,02/05/2025 05:59,33,9,6,10,5,401,,,,,,14,57.2,66,,,,97892,532,,,5,11,7,622,,,,,,,5,9,6,532,,,,,,401,,,,,,,,,,,3,10,5,441,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 06:00,02/05/2025 06:59,33,9,6,11,5,403,,,,,,13,55.4,67,,,,97914,598,,,6,12,8,697,,,,,,,5,10,6,598,,,,,,403,,,,,,,,,,,4,11,6,498,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 07:00,02/05/2025 07:59,44,11,8,13,6,404,,,,,,14,57.2,67,,,,97956,715,,,7,14,9,828,,,,,,,6,12,8,715,,,,,,404,,,,,,,,,,,5,13,7,584,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 08:00,02/05/2025 08:59,50,13,9,14,7,400,,,,,,13,55.4,69,,,,97936,790,,,8,15,10,908,,,,,,,7,13,8,790,,,,,,400,,,,,,,,,,,6,15,8,656,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 09:00,02/05/2025 09:59,39,10,7,13,6,397,,,,,,13,55.4,70,,,,97951,683,,,7,13,9,789,,,,,,,6,11,7,683,,,,,,397,,,,,,,,,,,5,13,7,568,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 10:00,02/05/2025 10:59,55,16,11,17,9,400,,,,,,13,55.4,74,,,,97951,971,,,10,19,13,1169,,,,,,,9,17,11,971,,,,,,400,,,,,,,,,,,7,16,9,820,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 11:00,02/05/2025 11:59,60,20,14,21,11,402,,,,,,13,55.4,75,,,,97944,1254,,,13,25,17,1524,,,,,,,11,21,14,1254,,,,,,402,,,,,,,,,,,9,19,12,1056,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 12:00,02/05/2025 12:59,62,21,15,23,12,402,,,,,,13,55.4,79,,,,97940,1369,,,14,26,17,1727,,,,,,,12,23,15,1369,,,,,,402,,,,,,,,,,,10,21,13,1156,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 13:00,02/05/2025 13:59,66,24,17,26,14,402,,,,,,13,55.4,77,,,,97968,1551,,,14,26,17,1998,,,,,,,14,26,17,1551,,,,,,402,,,,,,,,,,,12,25,15,1319,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 14:00,02/05/2025 14:59,66,24,17,26,14,402,,,,,,12,53.6,78,,,,98021,1606,,,14,26,17,2090,,,,,,,14,28,18,1606,,,,,,402,,,,,,,,,,,12,25,16,1355,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 15:00,02/05/2025 15:59,71,29,20,31,15,402,,,,,,13,55.4,77,,,,98093,1889,,,17,32,21,2477,,,,,,,15,30,19,1889,,,,,,402,,,,,,,,,,,14,30,19,1602,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 16:00,02/05/2025 16:59,75,31,22,35,17,406,,,,,,14,57.2,76,,,,98140,2255,,,21,39,26,2984,,,,,,,17,34,22,2255,,,,,,406,,,,,,,,,,,16,34,21,1985,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 17:00,02/05/2025 17:59,75,31,22,34,17,408,,,,,,15,59,75,,,,98150,2174,,,20,38,25,2910,,,,,,,17,33,21,2174,,,,,,408,,,,,,,,,,,16,34,21,1958,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 18:00,02/05/2025 18:59,68,26,18,29,14,405,,,,,,16,60.8,72,,,,98153,1686,,,15,29,19,2268,,,,,,,14,28,18,1686,,,,,,405,,,,,,,,,,,13,28,18,1510,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 19:00,02/05/2025 19:59,66,24,17,26,14,405,,,,,,17,62.6,72,,,,98099,1565,,,14,26,17,2030,,,,,,,14,27,17,1565,,,,,,405,,,,,,,,,,,12,24,15,1370,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 20:00,02/05/2025 20:59,56,17,12,19,10,402,,,,,,19,66.2,68,,,,98026,1109,,,12,23,15,1445,,,,,,,10,19,12,1109,,,,,,402,,,,,,,,,,,9,17,11,989,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 21:00,02/05/2025 21:59,44,11,8,13,6,402,,,,,,21,69.8,60,,,,97909,729,,,8,15,10,920,,,,,,,6,12,8,729,,,,,,402,,,,,,,,,,,6,12,7,643,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 22:00,02/05/2025 22:59,39,10,7,11,5,404,,,,,,22,71.6,56,,,,97821,643,,,6,12,8,759,,,,,,,5,11,7,643,,,,,,404,,,,,,,,,,,5,10,6,552,,,,,
92e26935zj5,America/Los_Angeles UTC-08:00,02/05/2025 23:00,02/05/2025 23:59,33,9,6,10,5,403,,,,,,21,69.8,57,,,,97753,601,,,6,11,7,695,,,,,,,5,10,6,600,,,,,,403,,,,,,,,,,,4,9,6,525,,,,,
