Source,Device timezone,Datetime_start(UTC),Datetime_end(UTC),AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),CO (ug/m3),TVOC (index),NOx (index),O3 (ug/m3),NO2 (ug/m3),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb),Pressure (pascal),Particle Count,Fan Speed Level,slot.1.co2,slot.1.pm1,slot.1.pm10,slot.1.pm25,slot.1.pc,slot.1.voc,slot.1.hcho,slot.1.o3,slot.1.co,slot.1.no2,slot.2.co2,slot.2.pm1,slot.2.pm10,slot.2.pm25,slot.2.pc,slot.2.voc,slot.2.hcho,slot.2.o3,slot.2.co,slot.2.no2,slot.3.co2,slot.3.pm1,slot.3.pm10,slot.3.pm25,slot.3.pc,slot.3.voc,slot.3.hcho,slot.3.o3,slot.3.co,slot.3.no2,slot.4.co2,slot.4.pm1,slot.4.pm10,slot.4.pm25,slot.4.pc,slot.4.voc,slot.4.hcho,slot.4.o3,slot.4.co,slot.4.no2
9bg52vvw3zn,America/Los_Angeles UTC-07:00,06/10/2025 16:00,06/10/2025 16:59,73,30,21,21,20,435,,,,,,22,71.6,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bg52vvw3zn,America/Los_Angeles UTC-07:00,06/10/2025 17:00,06/10/2025 17:59,88,41,29,30,28,440,,,,,,23,73.4,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bg52vvw3zn,America/Los_Angeles UTC-07:00,06/10/2025 18:00,06/10/2025 18:59,73,30,21,21,21,437,,,,,,25,77,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bg52vvw3zn,America/Los_Angeles UTC-07:00,06/10/2025 19:00,06/10/2025 19:59,68,26,18,18,18,435,,,,,,26,78.8,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bg52vvw3zn,America/Los_Angeles UTC-07:00,06/10/2025 20:00,06/10/2025 20:59,60,20,14,14,14,431,,,,,,26,78.8,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bg52vvw3zn,America/Los_Angeles UTC-07:00,06/10/2025 21:00,06/10/2025 21:59,56,17,12,12,12,441,,,,,,26,78.8,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bg52vvw3zn,America/Los_Angeles UTC-07:00,06/10/2025 22:00,06/10/2025 22:59,56,17,12,12,12,429,,,,,,27,80.6,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bg52vvw3zn,America/Los_Angeles UTC-07:00,06/10/2025 23:00,06/10/2025 23:59,55,16,11,11,11,426,,,,,,27,80.6,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bg52vvw3zn,America/Los_Angeles UTC-07:00,06/11/2025 00:00,06/11/2025 00:59,50,13,9,9,9,436,,,,,,27,80.6,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bg52vvw3zn,America/Los_Angeles UTC-07:00,06/11/2025 01:00,06/11/2025 01:59,50,13,9,9,9,446,,,,,,27,80.6,54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bg52vvw3zn,America/Los_Angeles UTC-07:00,06/11/2025 02:00,06/11/2025 02:59,55,16,11,11,11,415,,,,,,27,80.6,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9bg52vvw3zn,America/Los_Angeles UTC-07:00,06/11/2025 03:00,06/11/2025 03:59,53,14,10,10,9,405,,,,,,26,78.8,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
