Source,Device timezone,Datetime_start(UTC),Datetime_end(UTC),AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),CO (ug/m3),TVOC (index),NOx (index),O3 (ug/m3),NO2 (ug/m3),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb),Pressure (pascal),Particle Count,Fan Speed Level,slot.1.co2,slot.1.pm1,slot.1.pm10,slot.1.pm25,slot.1.pc,slot.1.voc,slot.1.hcho,slot.1.o3,slot.1.co,slot.1.no2,slot.2.co2,slot.2.pm1,slot.2.pm10,slot.2.pm25,slot.2.pc,slot.2.voc,slot.2.hcho,slot.2.o3,slot.2.co,slot.2.no2,slot.3.co2,slot.3.pm1,slot.3.pm10,slot.3.pm25,slot.3.pc,slot.3.voc,slot.3.hcho,slot.3.o3,slot.3.co,slot.3.no2,slot.4.co2,slot.4.pm1,slot.4.pm10,slot.4.pm25,slot.4.pc,slot.4.voc,slot.4.hcho,slot.4.o3,slot.4.co,slot.4.no2
fjs45i6zcjs,America/Los_Angeles UTC-07:00,06/10/2025 16:00,06/10/2025 16:59,50,13,9,9,9,-1,,,,,,24,75.2,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fjs45i6zcjs,America/Los_Angeles UTC-07:00,06/10/2025 17:00,06/10/2025 17:59,60,20,14,14,14,-1,,,,,,24,75.2,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fjs45i6zcjs,America/Los_Angeles UTC-07:00,06/10/2025 18:00,06/10/2025 18:59,58,19,13,13,13,-1,,,,,,25,77,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fjs45i6zcjs,America/Los_Angeles UTC-07:00,06/10/2025 19:00,06/10/2025 19:59,44,11,8,8,8,-1,,,,,,25,77,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fjs45i6zcjs,America/Los_Angeles UTC-07:00,06/10/2025 20:00,06/10/2025 20:59,33,9,6,6,6,-1,,,,,,25,77,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fjs45i6zcjs,America/Los_Angeles UTC-07:00,06/10/2025 21:00,06/10/2025 21:59,22,6,4,4,4,-1,,,,,,25,77,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fjs45i6zcjs,America/Los_Angeles UTC-07:00,06/10/2025 22:00,06/10/2025 22:59,17,4,3,3,3,-1,,,,,,25,77,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fjs45i6zcjs,America/Los_Angeles UTC-07:00,06/10/2025 23:00,06/10/2025 23:59,39,10,7,7,7,-1,,,,,,24,75.2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fjs45i6zcjs,America/Los_Angeles UTC-07:00,06/11/2025 00:00,06/11/2025 00:59,22,6,4,4,4,-1,,,,,,24,75.2,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fjs45i6zcjs,America/Los_Angeles UTC-07:00,06/11/2025 01:00,06/11/2025 01:59,53,14,10,13,6,-1,,,,,,24,75.2,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
