Source,Device timezone,Datetime_start(UTC),Datetime_end(UTC),AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),CO (ug/m3),TVOC (index),NOx (index),O3 (ug/m3),NO2 (ug/m3),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb),Pressure (pascal),Particle Count,Fan Speed Level,slot.1.co2,slot.1.pm1,slot.1.pm10,slot.1.pm25,slot.1.pc,slot.1.voc,slot.1.hcho,slot.1.o3,slot.1.co,slot.1.no2,slot.2.co2,slot.2.pm1,slot.2.pm10,slot.2.pm25,slot.2.pc,slot.2.voc,slot.2.hcho,slot.2.o3,slot.2.co,slot.2.no2,slot.3.co2,slot.3.pm1,slot.3.pm10,slot.3.pm25,slot.3.pc,slot.3.voc,slot.3.hcho,slot.3.o3,slot.3.co,slot.3.no2,slot.4.co2,slot.4.pm1,slot.4.pm10,slot.4.pm25,slot.4.pc,slot.4.voc,slot.4.hcho,slot.4.o3,slot.4.co,slot.4.no2
taxmw534ocs,America/Los_Angeles UTC-08:00,02/04/2025 19:00,02/04/2025 19:59,92,44,31,47,25,510,,,,,,16,60.8,61,,,,97881,3099,,510,,,,,,,,,,,25,51,33,3099,,,,,,,25,48,32,3683,,,,,,,20,41,26,2622,,,,,
taxmw534ocs,America/Los_Angeles UTC-08:00,02/04/2025 20:00,02/04/2025 20:59,77,33,23,36,19,504,,,,,,18,64.4,58,,,,97821,2389,,504,,,,,,,,,,,20,39,25,2389,,,,,,,19,35,23,2793,,,,,,,15,32,20,1986,,,,,
taxmw534ocs,America/Los_Angeles UTC-08:00,02/04/2025 21:00,02/04/2025 21:59,68,26,18,29,15,503,,,,,,19,66.2,53,,,,97746,1965,,503,,,,,,,,,,,16,32,21,1965,,,,,,,14,27,18,2202,,,,,,,14,29,18,1582,,,,,
taxmw534ocs,America/Los_Angeles UTC-08:00,02/04/2025 22:00,02/04/2025 22:59,73,30,21,32,17,507,,,,,,20,68,50,,,,97707,2224,,507,,,,,,,,,,,18,35,23,2224,,,,,,,16,31,21,2486,,,,,,,15,30,19,1822,,,,,
taxmw534ocs,America/Los_Angeles UTC-08:00,02/04/2025 23:00,02/04/2025 23:59,68,26,18,29,14,504,,,,,,20,68,48,,,,97699,1922,,504,,,,,,,,,,,16,32,20,1922,,,,,,,14,27,18,2139,,,,,,,14,29,18,1589,,,,,
taxmw534ocs,America/Los_Angeles UTC-08:00,02/05/2025 00:00,02/05/2025 00:59,62,21,15,23,12,503,,,,,,18,64.4,53,,,,97706,1328,,503,,,,,,,,,,,12,23,15,1328,,,,,,,13,25,16,1490,,,,,,,9,19,12,1059,,,,,
taxmw534ocs,America/Los_Angeles UTC-08:00,02/05/2025 01:00,02/05/2025 01:59,50,13,9,14,7,481,,,,,,15,59,57,,,,97770,812,,481,,,,,,,,,,,7,14,9,812,,,,,,,8,16,10,927,,,,,,,5,12,7,633,,,,,
taxmw534ocs,America/Los_Angeles UTC-08:00,02/05/2025 02:00,02/05/2025 02:59,33,9,6,9,5,401,,,,,,14,57.2,63,,,,97836,580,,401,,,,,,,,,,,5,9,6,580,,,,,,,6,12,8,675,,,,,,,4,9,5,452,,,,,
taxmw534ocs,America/Los_Angeles UTC-08:00,02/05/2025 03:00,02/05/2025 03:59,33,9,6,9,5,404,,,,,,14,57.2,65,,,,97910,536,,404,,,,,,,,,,,5,9,6,536,,,,,,,5,11,7,617,,,,,,,3,7,4,415,,,,,
taxmw534ocs,America/Los_Angeles UTC-08:00,02/05/2025 04:00,02/05/2025 04:59,33,9,6,9,5,402,,,,,,13,55.4,67,,,,97978,538,,402,,,,,,,,,,,5,9,6,538,,,,,,,5,11,7,621,,,,,,,3,8,4,421,,,,,
