Source,Device timezone,Datetime_start(UTC),Datetime_end(UTC),AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),CO (ug/m3),TVOC (index),NOx (index),O3 (ug/m3),NO2 (ug/m3),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb),Pressure (pascal),Particle Count,Fan Speed Level,slot.1.co2,slot.1.pm1,slot.1.pm10,slot.1.pm25,slot.1.pc,slot.1.voc,slot.1.hcho,slot.1.o3,slot.1.co,slot.1.no2,slot.2.co2,slot.2.pm1,slot.2.pm10,slot.2.pm25,slot.2.pc,slot.2.voc,slot.2.hcho,slot.2.o3,slot.2.co,slot.2.no2,slot.3.co2,slot.3.pm1,slot.3.pm10,slot.3.pm25,slot.3.pc,slot.3.voc,slot.3.hcho,slot.3.o3,slot.3.co,slot.3.no2,slot.4.co2,slot.4.pm1,slot.4.pm10,slot.4.pm25,slot.4.pc,slot.4.voc,slot.4.hcho,slot.4.o3,slot.4.co,slot.4.no2
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/10/2025 23:00,04/10/2025 23:59,44,11,8,15,5,584,,,,,,32,89.6,27,,,,98612,26461,,584,,,,,,,,,,,5,15,8,26401,,,,,,,5,17,9,25692,,,,,,,5,11,6,27440,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 00:00,04/11/2025 00:59,33,9,6,12,4,580,,,,,,32,89.6,29,,,,98579,23311,,580,,,,,,,,,,,4,12,6,22526,,,,,,,5,15,8,22836,,,,,,,5,10,6,24582,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 01:00,04/11/2025 01:59,33,9,6,11,4,571,,,,,,30,86,29,,,,98554,23010,,571,,,,,,,,,,,4,11,6,22014,,,,,,,5,14,8,22851,,,,,,,5,9,6,24602,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 02:00,04/11/2025 02:59,39,10,7,13,4,573,,,,,,28,82.4,36,,,,98584,21303,,573,,,,,,,,,,,3,14,7,20059,,,,,,,4,16,9,21281,,,,,,,4,10,6,22533,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 03:00,04/11/2025 03:59,44,11,8,16,5,577,,,,,,25,77,43,,,,98622,24767,,577,,,,,,,,,,,4,16,8,24014,,,,,,,5,18,10,24561,,,,,,,5,12,7,26597,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 04:00,04/11/2025 04:59,44,11,8,16,6,582,,,,,,23,73.4,49,,,,98691,27256,,582,,,,,,,,,,,5,16,8,26353,,,,,,,6,19,10,27005,,,,,,,6,13,8,29990,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 05:00,04/11/2025 05:59,53,14,10,20,6,585,,,,,,22,71.6,51,,,,98697,32663,,585,,,,,,,,,,,6,20,10,31907,,,,,,,6,24,12,32113,,,,,,,6,16,9,36328,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 06:00,04/11/2025 06:59,55,16,11,22,7,585,,,,,,21,69.8,54,,,,98694,34134,,585,,,,,,,,,,,6,22,11,32695,,,,,,,7,26,14,33892,,,,,,,7,18,10,37509,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 07:00,04/11/2025 07:59,50,13,9,18,6,593,,,,,,20,68,55,,,,98670,30482,,593,,,,,,,,,,,5,18,9,29217,,,,,,,6,22,12,30232,,,,,,,6,15,9,33500,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 08:00,04/11/2025 08:59,50,13,9,17,6,592,,,,,,19,66.2,55,,,,98615,28745,,592,,,,,,,,,,,5,17,9,27751,,,,,,,6,20,11,28604,,,,,,,6,14,8,32108,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 09:00,04/11/2025 09:59,55,16,11,22,7,600,,,,,,18,64.4,59,,,,98563,35408,,600,,,,,,,,,,,6,23,11,34813,,,,,,,7,26,14,34468,,,,,,,7,18,11,40193,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 10:00,04/11/2025 10:59,58,19,13,24,7,607,,,,,,17,62.6,61,,,,98547,40263,,607,,,,,,,,,,,7,25,12,40224,,,,,,,7,27,14,37581,,,,,,,9,21,12,45910,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 11:00,04/11/2025 11:59,58,19,13,24,8,616,,,,,,17,62.6,63,,,,98535,43680,,616,,,,,,,,,,,8,25,13,43659,,,,,,,8,26,14,40547,,,,,,,9,21,13,49217,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 12:00,04/11/2025 12:59,58,19,13,24,8,625,,,,,,16,60.8,64,,,,98510,44333,,625,,,,,,,,,,,8,25,13,44328,,,,,,,8,26,14,41164,,,,,,,10,20,12,50351,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 13:00,04/11/2025 13:59,60,20,14,26,9,617,,,,,,15,59,67,,,,98523,49242,,617,,,,,,,,,,,9,27,14,49240,,,,,,,9,28,15,45772,,,,,,,10,23,14,55139,,,,,
27cb00tf7ez,America/Los_Angeles UTC-07:00,04/11/2025 14:00,04/11/2025 14:59,62,21,15,26,10,617,,,,,,17,62.6,61,,,,98565,53219,,617,,,,,,,,,,,10,29,15,53219,,,,,,,10,27,15,47988,,,,,,,11,24,15,59325,,,,,
