Source,Device timezone,Datetime_start(UTC),Datetime_end(UTC),AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),CO (ug/m3),TVOC (index),NOx (index),O3 (ug/m3),NO2 (ug/m3),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb),Pressure (pascal),Particle Count,Fan Speed Level,slot.1.co2,slot.1.pm1,slot.1.pm10,slot.1.pm25,slot.1.pc,slot.1.voc,slot.1.hcho,slot.1.o3,slot.1.co,slot.1.no2,slot.2.co2,slot.2.pm1,slot.2.pm10,slot.2.pm25,slot.2.pc,slot.2.voc,slot.2.hcho,slot.2.o3,slot.2.co,slot.2.no2,slot.3.co2,slot.3.pm1,slot.3.pm10,slot.3.pm25,slot.3.pc,slot.3.voc,slot.3.hcho,slot.3.o3,slot.3.co,slot.3.no2,slot.4.co2,slot.4.pm1,slot.4.pm10,slot.4.pm25,slot.4.pc,slot.4.voc,slot.4.hcho,slot.4.o3,slot.4.co,slot.4.no2
bg4apuv60u1,America/Los_Angeles UTC-08:00,02/04/2025 19:00,02/04/2025 19:59,92,44,31,31,29,558,,,,,,19,66.2,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg4apuv60u1,America/Los_Angeles UTC-08:00,02/04/2025 20:00,02/04/2025 20:59,77,33,23,24,21,542,,,,,,19,66.2,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg4apuv60u1,America/Los_Angeles UTC-08:00,02/04/2025 21:00,02/04/2025 21:59,75,31,22,22,20,501,,,,,,19,66.2,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg4apuv60u1,America/Los_Angeles UTC-08:00,02/04/2025 22:00,02/04/2025 22:59,81,36,25,25,24,503,,,,,,19,66.2,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg4apuv60u1,America/Los_Angeles UTC-08:00,02/04/2025 23:00,02/04/2025 23:59,71,29,20,20,18,507,,,,,,20,68,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg4apuv60u1,America/Los_Angeles UTC-08:00,02/05/2025 00:00,02/05/2025 00:59,62,21,15,17,12,518,,,,,,19,66.2,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg4apuv60u1,America/Los_Angeles UTC-08:00,02/05/2025 01:00,02/05/2025 01:59,39,10,7,8,5,522,,,,,,19,66.2,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg4apuv60u1,America/Los_Angeles UTC-08:00,02/05/2025 02:00,02/05/2025 02:59,64,23,16,16,14,860,,,,,,20,68,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg4apuv60u1,America/Los_Angeles UTC-08:00,02/05/2025 03:00,02/05/2025 03:59,71,29,20,22,16,1146,,,,,,21,69.8,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bg4apuv60u1,America/Los_Angeles UTC-08:00,02/05/2025 04:00,02/05/2025 04:59,39,10,7,9,6,927,,,,,,21,69.8,57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
