Source,Device timezone,Datetime_start(UTC),Datetime_end(UTC),AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),CO (ug/m3),TVOC (index),NOx (index),O3 (ug/m3),NO2 (ug/m3),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb),Pressure (pascal),Particle Count,Fan Speed Level,slot.1.co2,slot.1.pm1,slot.1.pm10,slot.1.pm25,slot.1.pc,slot.1.voc,slot.1.hcho,slot.1.o3,slot.1.co,slot.1.no2,slot.2.co2,slot.2.pm1,slot.2.pm10,slot.2.pm25,slot.2.pc,slot.2.voc,slot.2.hcho,slot.2.o3,slot.2.co,slot.2.no2,slot.3.co2,slot.3.pm1,slot.3.pm10,slot.3.pm25,slot.3.pc,slot.3.voc,slot.3.hcho,slot.3.o3,slot.3.co,slot.3.no2,slot.4.co2,slot.4.pm1,slot.4.pm10,slot.4.pm25,slot.4.pc,slot.4.voc,slot.4.hcho,slot.4.o3,slot.4.co,slot.4.no2
g0eynj31inl,America/Los_Angeles UTC-07:00,03/17/2025 19:00,03/17/2025 19:59,6,1,1,2,1,1237,,,,,,18,64.4,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/17/2025 20:00,03/17/2025 20:59,11,3,2,2,1,1306,,,,,,19,66.2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/17/2025 21:00,03/17/2025 21:59,17,4,3,4,1,1230,,,,,,19,66.2,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/17/2025 22:00,03/17/2025 22:59,53,14,10,14,3,786,,,,,,19,66.2,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/17/2025 23:00,03/17/2025 23:59,28,7,5,7,2,585,,,,,,19,66.2,58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 00:00,03/18/2025 00:59,11,3,2,3,1,578,,,,,,19,66.2,61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 01:00,03/18/2025 01:59,6,1,1,2,0,593,,,,,,19,66.2,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 02:00,03/18/2025 02:59,6,1,1,1,0,809,,,,,,19,66.2,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 03:00,03/18/2025 03:59,6,1,1,2,0,1742,,,,,,20,68,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 04:00,03/18/2025 04:59,11,3,2,4,1,695,,,,,,19,66.2,62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 05:00,03/18/2025 05:59,11,3,2,3,1,772,,,,,,19,66.2,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 06:00,03/18/2025 06:59,22,6,4,6,1,820,,,,,,19,66.2,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 07:00,03/18/2025 07:59,17,4,3,4,1,733,,,,,,20,68,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 17:00,03/18/2025 17:59,6,1,1,1,1,537,,,,,,17,62.6,63,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 18:00,03/18/2025 18:59,0,0,0,0,0,697,,,,,,19,66.2,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 19:00,03/18/2025 19:59,0,0,0,0,0,758,,,,,,19,66.2,56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 20:00,03/18/2025 20:59,6,1,1,1,0,766,,,,,,20,68,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 21:00,03/18/2025 21:59,11,3,2,3,1,423,,,,,,20,68,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 22:00,03/18/2025 22:59,11,3,2,3,1,421,,,,,,20,68,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/18/2025 23:00,03/18/2025 23:59,11,3,2,3,1,405,,,,,,20,68,47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/19/2025 00:00,03/19/2025 00:59,11,3,2,2,1,479,,,,,,20,68,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/19/2025 01:00,03/19/2025 01:59,11,3,2,2,1,448,,,,,,20,68,46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/19/2025 02:00,03/19/2025 02:59,6,1,1,2,1,539,,,,,,21,69.8,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
g0eynj31inl,America/Los_Angeles UTC-07:00,03/19/2025 03:00,03/19/2025 03:59,11,3,2,3,0,757,,,,,,21,69.8,50,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
