Source,Device timezone,Datetime_start(UTC),Datetime_end(UTC),AQI US,AQI CN,PM2.5 (ug/m3),PM10 (ug/m3),PM1 (ug/m3),CO2 (ppm),CO (ug/m3),TVOC (index),NOx (index),O3 (ug/m3),NO2 (ug/m3),Temperature (Celsius),Temperature (Fahrenheit),Humidity (%),Outdoor PM2.5 (ug/m3),HCHO (ppb),TVOC (ppb),Pressure (pascal),Particle Count,Fan Speed Level,slot.1.co2,slot.1.pm1,slot.1.pm10,slot.1.pm25,slot.1.pc,slot.1.voc,slot.1.hcho,slot.1.o3,slot.1.co,slot.1.no2,slot.2.co2,slot.2.pm1,slot.2.pm10,slot.2.pm25,slot.2.pc,slot.2.voc,slot.2.hcho,slot.2.o3,slot.2.co,slot.2.no2,slot.3.co2,slot.3.pm1,slot.3.pm10,slot.3.pm25,slot.3.pc,slot.3.voc,slot.3.hcho,slot.3.o3,slot.3.co,slot.3.no2,slot.4.co2,slot.4.pm1,slot.4.pm10,slot.4.pm25,slot.4.pc,slot.4.voc,slot.4.hcho,slot.4.o3,slot.4.co,slot.4.no2
ik5azb0jv30,America/Los_Angeles UTC-07:00,06/27/2025 18:00,06/27/2025 18:59,73,30,21,32,17,449,,,,,,34,93.2,36,,,,97534,128261,,,,,,,,,,,,,17,32,21,128261,,,,,,,,,,,,,,,,449,,,,,,,,,
ik5azb0jv30,America/Los_Angeles UTC-07:00,06/27/2025 19:00,06/27/2025 19:59,62,21,15,22,12,438,,,,,,36,96.8,25,,,,97493,68629,,,,,,,,,,,,,12,22,15,68629,,,,,,,,,,,,,,,,438,,,,,,,,,
ik5azb0jv30,America/Los_Angeles UTC-07:00,06/27/2025 20:00,06/27/2025 20:59,58,19,13,20,10,442,,,,,,37,98.6,24,,,,97448,60735,,,,,,,,,,,,,10,20,13,60735,,,,,,,,,,,,,,,,442,,,,,,,,,
ik5azb0jv30,America/Los_Angeles UTC-07:00,06/27/2025 21:00,06/27/2025 21:59,55,16,11,16,8,438,,,,,,37,98.6,22,,,,97420,49705,,,,,,,,,,,,,8,16,11,49705,,,,,,,,,,,,,,,,438,,,,,,,,,
ik5azb0jv30,America/Los_Angeles UTC-07:00,06/27/2025 22:00,06/27/2025 22:59,50,13,9,13,7,436,,,,,,36,96.8,21,,,,97387,41001,,,,,,,,,,,,,7,13,9,41001,,,,,,,,,,,,,,,,436,,,,,,,,,
ik5azb0jv30,America/Los_Angeles UTC-07:00,06/27/2025 23:00,06/27/2025 23:59,39,10,7,12,6,434,,,,,,35,95,20,,,,97371,34198,,,,,,,,,,,,,6,12,7,34198,,,,,,,,,,,,,,,,434,,,,,,,,,
ik5azb0jv30,America/Los_Angeles UTC-07:00,06/28/2025 00:00,06/28/2025 00:59,39,10,7,11,6,435,,,,,,34,93.2,21,,,,97352,34092,,,,,,,,,,,,,6,11,7,34092,,,,,,,,,,,,,,,,435,,,,,,,,,
ik5azb0jv30,America/Los_Angeles UTC-07:00,06/28/2025 01:00,06/28/2025 01:59,50,13,9,13,6,407,,,,,,32,89.6,27,,,,97352,39353,,,,,,,,,,,,,6,13,9,39353,,,,,,,,,,,,,,,,407,,,,,,,,,
ik5azb0jv30,America/Los_Angeles UTC-07:00,06/28/2025 02:00,06/28/2025 02:59,53,14,10,16,8,409,,,,,,29,84.2,36,,,,97398,47773,,,,,,,,,,,,,8,16,10,47773,,,,,,,,,,,,,,,,409,,,,,,,,,
ik5azb0jv30,America/Los_Angeles UTC-07:00,06/28/2025 03:00,06/28/2025 03:59,55,16,11,17,9,412,,,,,,27,80.6,42,,,,97451,51099,,,,,,,,,,,,,9,17,11,51099,,,,,,,,,,,,,,,,412,,,,,,,,,
